,HometownLatitude,HometownLongitude,UndergradLatitude,UndergradLongitude,RA_LM_Latitude,RA_LM_Longitude,Masters_Latitude,Masters_Longitude,PHD_Latitude,PHD_Longitude,PostDoc_Latitude,PostDoc_Longitude,Faculty_Latitude,Faculty_Longitude
40,53.4794892,-2.2451148,51.4538022,-2.5972985,,,49.2608724,-123.1139529,37.8708393,-122.2728639,52.2034823,0.1235817,51.4893335,-0.144055084527687
41,49.0677708,0.3138532,49.4404591,1.0939658,,,49.4404591,1.0939658,48.8566101,2.3514992,30.2711286,-97.7436995,,
42,42.3602534,-71.0582912,43.6307863,-74.4659275,38.9848265,-77.0946459,,,34.0536909,-118.2427666,,,,
43,52.4205588,10.7861682,52.2646577,10.5236066,,,52.1315889,11.6399609,50.9220931,6.3611015,,,,
44,51.5073219,-0.1276474,52.9534161,-1.1492773,,,52.9534161,-1.1492773,51.7520131,-1.2578499,,,,
45,25.7742658,-80.1936589,25.7742658,-80.1936589,25.7742658,-80.1936589,,,32.527002,-85.4367484053398,,,,
46,52.2156457,5.9639485,52.1518157,4.48110886662043,,,51.4893335,-0.144055084527687,52.1518157,4.48110886662043,52.1518157,4.48110886662043,,
47,34.0536909,-118.2427666,34.1476452,-118.1444779,,,34.1476452,-118.1444779,37.8708393,-122.2728639,37.8708393,-122.2728639,30.2711286,-97.7436995
48,39.9527237,-75.1635262,41.5623178,-72.6509061,40.7127281,-74.0060152,41.3082138,-72.9250518,41.3082138,-72.9250518,,,,
49,22.5677459,88.3476023,1.3408528,103.878446863736,,,,,42.3602534,-71.0582912,42.3750997,-71.1056157,42.3602534,-71.0582912
50,51.8283677,7.2791406,52.266837,8.049741,,,50.735851,7.10066,50.735851,7.10066,,,,
51,42.6384261,12.674297,42.6384261,12.674297,,,42.6384261,12.674297,35.6594221,139.759138894278,52.865196,-7.9794599,,
52,38.9597594,34.9249653,,,,,,,39.9207774,32.854067,,,,
53,53.550341,10.000654,53.0758196,8.8071646,,,50.8579855,5.69698811694244,52.2034823,0.1235817,,,,
54,40.6214551,-79.1525349,39.2847494,-76.6204746396999,,,45.886548,11.0452369,43.703622,-72.288666,40.3492744,-74.6592958,,
55,40.7127281,-74.0060152,38.8950092,-77.0365625,,,39.9622601,-83.0007065,39.9622601,-83.0007065,,,,
56,40.1164205,-88.2433829,,,40.4416941,-79.9900861,,,34.0536909,-118.2427666,,,,
